# 2theta(deg)  intensity
1.050003803339782937e+00 1.245344970703125000e+03
1.052064654769301555e+00 1.246447021484375000e+03
1.054125506198820394e+00 1.246515502929687500e+03
1.056186357628339012e+00 1.246847045898437500e+03
1.058247209057857630e+00 1.248671630859375000e+03
1.060308060487376691e+00 1.250469482421875000e+03
1.062368911916895309e+00 1.251311889648437500e+03
1.064429763346413926e+00 1.250642700195312500e+03
1.066490614775932544e+00 1.252638916015625000e+03
1.068551466205451383e+00 1.253294555664062500e+03
1.070612317634970001e+00 1.254212890625000000e+03
1.072673169064488841e+00 1.256665039062500000e+03
1.074734020494007458e+00 1.258396484375000000e+03
1.076794871923526298e+00 1.260671264648437500e+03
1.078855723353044915e+00 1.262913818359375000e+03
1.080916574782563533e+00 1.263804443359375000e+03
1.082977426212082372e+00 1.265212036132812500e+03
1.085038277641600990e+00 1.265875610351562500e+03
1.087099129071119830e+00 1.266854492187500000e+03
1.089159980500638447e+00 1.269052978515625000e+03
1.091220831930157287e+00 1.271951049804687500e+03
1.093281683359675904e+00 1.272607666015625000e+03
1.095342534789194522e+00 1.273759277343750000e+03
1.097403386218713139e+00 1.275499145507812500e+03
1.099464237648231979e+00 1.275055175781250000e+03
1.101525089077750819e+00 1.276864135742187500e+03
1.103585940507269436e+00 1.278415283203125000e+03
1.105646791936788276e+00 1.277768066406250000e+03
1.107707643366306893e+00 1.278004516601562500e+03
1.109768494795825511e+00 1.277561889648437500e+03
1.111829346225344128e+00 1.274748291015625000e+03
1.113890197654862968e+00 1.275988403320312500e+03
1.115951049084381808e+00 1.276280639648437500e+03
1.118011900513900425e+00 1.279656860351562500e+03
1.120072751943419043e+00 1.281688110351562500e+03
1.122133603372937882e+00 1.283477416992187500e+03
1.124194454802456500e+00 1.285984863281250000e+03
1.126255306231975117e+00 1.285689331054687500e+03
1.128316157661493957e+00 1.287066772460937500e+03
1.130377009091012797e+00 1.287323608398437500e+03
1.132437860520531414e+00 1.287056274414062500e+03
1.134498711950050032e+00 1.285399536132812500e+03
