# 2theta(deg)  intensity
1.716591360638047370e-03 3.790620727539062500e+02
5.149774081914142328e-03 3.542579345703125000e+02
8.582956803190237502e-03 2.994572143554687500e+02
1.201613952446633181e-02 2.593050231933593750e+02
1.544932224574242785e-02 2.123470611572265625e+02
1.888250496701852216e-02 1.774117736816406250e+02
2.231568768829461646e-02 1.673314361572265625e+02
2.574887040957071424e-02 1.749092407226562500e+02
2.918205313084680855e-02 1.817099304199218750e+02
3.261523585212290632e-02 1.728932647705078125e+02
3.604841857339900063e-02 1.681591644287109375e+02
3.948160129467508800e-02 1.654143676757812500e+02
4.291478401595118231e-02 1.659789581298828125e+02
4.634796673722727661e-02 1.557232818603515625e+02
4.978114945850337786e-02 1.414136657714843750e+02
5.321433217977947217e-02 1.392839813232421875e+02
5.664751490105556647e-02 1.440438385009765625e+02
6.008069762233167466e-02 1.536423645019531250e+02
6.351388034360776202e-02 1.449049987792968750e+02
6.694706306488386327e-02 1.333501739501953125e+02
7.038024578615995064e-02 1.380616149902343750e+02
7.381342850743605188e-02 1.507928924560546875e+02
7.724661122871213925e-02 1.484827270507812500e+02
8.067979394998824050e-02 1.498185882568359375e+02
8.411297667126432787e-02 1.507982788085937500e+02
8.754615939254042911e-02 1.560299530029296875e+02
9.097934211381651648e-02 1.542878112792968750e+02
9.441252483509261773e-02 1.507598419189453125e+02
9.784570755636871897e-02 1.500729522705078125e+02
1.012788902776448063e-01 1.579833984375000000e+02
1.047120729989209076e-01 1.659415740966796875e+02
1.081452557201969950e-01 1.721878509521484375e+02
1.115784384414730962e-01 1.848609161376953125e+02
1.150116211627491836e-01 2.036655120849609375e+02
1.184448038840252987e-01 2.408394622802734375e+02
1.218779866053013722e-01 2.666259460449218750e+02
1.253111693265774873e-01 2.987531738281250000e+02
1.287443520478535608e-01 3.250063171386718750e+02
1.321775347691296620e-01 3.647203979492187500e+02
1.356107174904057355e-01 3.959557800292968750e+02
1.390439002116818645e-01 4.335074462890625000e+02
1.424770829329579380e-01 4.635458679199218750e+02
1.459102656542340393e-01 5.102388916015625000e+02
1.493434483755101405e-01 5.429826049804687500e+02
1.527766310967862418e-01 5.861614990234375000e+02
1.562098138180623430e-01 6.171169433593750000e+02
1.596429965393384165e-01 6.596656494140625000e+02
1.630761792606145177e-01 6.896903076171875000e+02
1.665093619818905912e-01 7.268767089843750000e+02
1.699425447031667202e-01 7.634934082031250000e+02
1.733757274244427937e-01 8.051116943359375000e+02
1.768089101457188950e-01 8.502521972656250000e+02
1.802420928669949685e-01 8.952916870117187500e+02
1.836752755882710975e-01 9.396389770507812500e+02
1.871084583095471987e-01 9.785092163085937500e+02
1.905416410308232722e-01 1.030392333984375000e+03
1.939748237520993734e-01 1.074539306640625000e+03
1.974080064733754747e-01 1.125572631835937500e+03
2.008411891946515759e-01 1.181562988281250000e+03
2.042743719159276494e-01 1.240819702148437500e+03
