# 2theta(deg)  intensity
1.030425714759355179e-03 4.106279296875000000e+02
3.091277144278065103e-03 3.504103088378906250e+02
5.152128573796775461e-03 3.263645019531250000e+02
7.212980003315484952e-03 3.210314331054687500e+02
9.273831432834195310e-03 3.101572265625000000e+02
1.133468286235290653e-02 2.388845367431640625e+02
1.339553429187161603e-02 2.437078704833984375e+02
1.545638572139032899e-02 2.238953857421875000e+02
1.751723715090903674e-02 1.995781402587890625e+02
1.957808858042774797e-02 1.792271423339843750e+02
2.163894000994645919e-02 1.768949127197265625e+02
2.369979143946516695e-02 1.659575653076171875e+02
2.576064286898387817e-02 1.730206146240234375e+02
2.782149429850258940e-02 1.782758483886718750e+02
2.988234572802130062e-02 1.803259887695312500e+02
3.194319715754000838e-02 1.758795166015625000e+02
3.400404858705871614e-02 1.708341522216796875e+02
3.606490001657743083e-02 1.645141601562500000e+02
3.812575144609613859e-02 1.671911468505859375e+02
4.018660287561484634e-02 1.677496490478515625e+02
4.224745430513356104e-02 1.591939544677734375e+02
4.430830573465226879e-02 1.605887908935546875e+02
4.636915716417097655e-02 1.509182891845703125e+02
4.843000859368969124e-02 1.416166839599609375e+02
5.049086002320839900e-02 1.410812072753906250e+02
5.255171145272710675e-02 1.374945983886718750e+02
5.461256288224582145e-02 1.407622222900390625e+02
5.667341431176453614e-02 1.491714324951171875e+02
5.873426574128324390e-02 1.504688262939453125e+02
6.079511717080195166e-02 1.448278656005859375e+02
6.285596860032065247e-02 1.398752593994140625e+02
6.491682002983938105e-02 1.383676605224609375e+02
6.697767145935808186e-02 1.336914978027343750e+02
6.903852288887678268e-02 1.384250946044921875e+02
7.109937431839551125e-02 1.468850097656250000e+02
7.316022574791421207e-02 1.460888671875000000e+02
7.522107717743291289e-02 1.430650634765625000e+02
7.728192860695164146e-02 1.441894531250000000e+02
7.934278003647034228e-02 1.476035308837890625e+02
8.140363146598904309e-02 1.477927246093750000e+02
8.346448289550777166e-02 1.575765686035156250e+02
8.552533432502647248e-02 1.567067260742187500e+02
8.758618575454517330e-02 1.576165771484375000e+02
8.964703718406390187e-02 1.521756439208984375e+02
9.170788861358260269e-02 1.461196746826171875e+02
9.376874004310130351e-02 1.482141876220703125e+02
9.582959147262003208e-02 1.476398010253906250e+02
9.789044290213873289e-02 1.535586242675781250e+02
9.995129433165743371e-02 1.596041412353515625e+02
1.020121457611761623e-01 1.615629730224609375e+02
1.040729971906948631e-01 1.652733612060546875e+02
1.061338486202135778e-01 1.625336761474609375e+02
1.081947000497322925e-01 1.651939544677734375e+02
1.102555514792509933e-01 1.668234863281250000e+02
1.123164029087697219e-01 1.765899505615234375e+02
1.143772543382884088e-01 1.920175323486328125e+02
1.164381057678071374e-01 2.022683715820312500e+02
1.184989571973258382e-01 2.139201812744140625e+02
1.205598086268445529e-01 2.439087219238281250e+02
1.226206600563632537e-01 2.613719787597656250e+02
1.246815114858819545e-01 2.745350952148437500e+02
1.267423629154006692e-01 2.931950988769531250e+02
1.288032143449193978e-01 3.151285400390625000e+02
1.308640657744380986e-01 3.275392456054687500e+02
1.329249172039567994e-01 3.446056213378906250e+02
1.349857686334755280e-01 3.754464111328125000e+02
1.370466200629942288e-01 3.962243652343750000e+02
1.391074714925129574e-01 4.121424865722656250e+02
1.411683229220316582e-01 4.347084350585937500e+02
1.432291743515503590e-01 4.659142456054687500e+02
1.452900257810690599e-01 4.879338073730468750e+02
1.473508772105877884e-01 5.076304626464843750e+02
1.494117286401064892e-01 5.391635742187500000e+02
1.514725800696252178e-01 5.547022705078125000e+02
1.535334314991439186e-01 5.664876098632812500e+02
1.555942829286626194e-01 5.987236328125000000e+02
1.576551343581813203e-01 6.272488403320312500e+02
1.597159857877000488e-01 6.520137329101562500e+02
1.617768372172187497e-01 6.738916015625000000e+02
1.638376886467374782e-01 7.021732177734375000e+02
1.658985400762561790e-01 7.145303955078125000e+02
1.679593915057748799e-01 7.303963623046875000e+02
1.700202429352935807e-01 7.588271484375000000e+02
1.720810943648123092e-01 7.871894531250000000e+02
1.741419457943310101e-01 8.129110717773437500e+02
1.762027972238497386e-01 8.312182006835937500e+02
1.782636486533684395e-01 8.704764404296875000e+02
1.803245000828871403e-01 9.003254394531250000e+02
1.823853515124058411e-01 9.149228515625000000e+02
1.844462029419245697e-01 9.497178955078125000e+02
1.865070543714432705e-01 9.753741455078125000e+02
1.885679058009619991e-01 9.986699218750000000e+02
1.906287572304806999e-01 1.028145507812500000e+03
1.926896086599994007e-01 1.068382202148437500e+03
1.947504600895181015e-01 1.102101684570312500e+03
1.968113115190368301e-01 1.126920410156250000e+03
1.988721629485555309e-01 1.171122680664062500e+03
2.009330143780742595e-01 1.209200805664062500e+03
2.029938658075929603e-01 1.242700317382812500e+03
2.050547172371116611e-01 1.292771606445312500e+03
2.071155686666303619e-01 1.334059204101562500e+03
2.091764200961490905e-01 1.374125976562500000e+03
2.112372715256678191e-01 1.422027832031250000e+03
2.132981229551865199e-01 1.477651367187500000e+03
2.153589743847052207e-01 1.516976806640625000e+03
2.174198258142239215e-01 1.549934448242187500e+03
2.194806772437426223e-01 1.580112060546875000e+03
2.215415286732613509e-01 1.607647949218750000e+03
2.236023801027800795e-01 1.622297851562500000e+03
2.256632315322987803e-01 1.640185791015625000e+03
2.277240829618174811e-01 1.651015502929687500e+03
2.297849343913362374e-01 1.668226928710937500e+03
2.318457858208549383e-01 1.682919799804687500e+03
2.339066372503736391e-01 1.693501342773437500e+03
2.359674886798923676e-01 1.701883056640625000e+03
2.380283401094110685e-01 1.717387329101562500e+03
2.400891915389297693e-01 1.729437255859375000e+03
2.421500429684484701e-01 1.744109375000000000e+03
2.442108943979671709e-01 1.754521728515625000e+03
2.462717458274858995e-01 1.763926391601562500e+03
2.483325972570046003e-01 1.769344238281250000e+03
2.503934486865233011e-01 1.781999145507812500e+03
2.524543001160420297e-01 1.795542968750000000e+03
2.545151515455607583e-01 1.808367675781250000e+03
2.565760029750794868e-01 1.819597778320312500e+03
2.586368544045981599e-01 1.829349243164062500e+03
2.606977058341168885e-01 1.840677246093750000e+03
2.627585572636355615e-01 1.854372802734375000e+03
2.648194086931542901e-01 1.871360473632812500e+03
2.668802601226730187e-01 1.879443359375000000e+03
2.689411115521916917e-01 1.889352050781250000e+03
2.710019629817104203e-01 1.899304077148437500e+03
2.730628144112290934e-01 1.906390869140625000e+03
2.751236658407478219e-01 1.919014160156250000e+03
2.771845172702665505e-01 1.933992431640625000e+03
2.792453686997852791e-01 1.952213256835937500e+03
2.813062201293040077e-01 1.966733154296875000e+03
2.833670715588226807e-01 1.979500610351562500e+03
2.854279229883414093e-01 1.987535156250000000e+03
2.874887744178600824e-01 1.999016723632812500e+03
2.895496258473788109e-01 2.007307617187500000e+03
2.916104772768975395e-01 2.016781860351562500e+03
2.936713287064162126e-01 2.033872314453125000e+03
2.957321801359349411e-01 2.043561401367187500e+03
2.977930315654536142e-01 2.051872802734375000e+03
2.998538829949723428e-01 2.063671875000000000e+03
3.019147344244910713e-01 2.075440917968750000e+03
3.039755858540097999e-01 2.087412353515625000e+03
3.060364372835285285e-01 2.106184082031250000e+03
3.080972887130472015e-01 2.122792968750000000e+03
3.101581401425659301e-01 2.135511230468750000e+03
3.122189915720846032e-01 2.153550048828125000e+03
3.142798430016033318e-01 2.170020019531250000e+03
3.163406944311220603e-01 2.184845458984375000e+03
3.184015458606407334e-01 2.201076416015625000e+03
3.204623972901594620e-01 2.214102539062500000e+03
3.225232487196781350e-01 2.228797607421875000e+03
3.245841001491968636e-01 2.240590332031250000e+03
3.266449515787156477e-01 2.250990234375000000e+03
3.287058030082343207e-01 2.264583007812500000e+03
3.307666544377530493e-01 2.276447998046875000e+03
3.328275058672717224e-01 2.290317138671875000e+03
3.348883572967904509e-01 2.304022460937500000e+03
3.369492087263091240e-01 2.319579345703125000e+03
3.390100601558278526e-01 2.330983642578125000e+03
3.410709115853465812e-01 2.340600585937500000e+03
3.431317630148652542e-01 2.350064697265625000e+03
3.451926144443839828e-01 2.361021240234375000e+03
3.472534658739026558e-01 2.375957763671875000e+03
3.493143173034214399e-01 2.390906250000000000e+03
3.513751687329401685e-01 2.408508544921875000e+03
3.534360201624588416e-01 2.419177246093750000e+03
3.554968715919775701e-01 2.425725341796875000e+03
3.575577230214962432e-01 2.438160888671875000e+03
3.596185744510149718e-01 2.448312744140625000e+03
3.616794258805336448e-01 2.457821777343750000e+03
3.637402773100523734e-01 2.469116455078125000e+03
3.658011287395711020e-01 2.480740234375000000e+03
3.678619801690897750e-01 2.490061279296875000e+03
3.699228315986085036e-01 2.502434082031250000e+03
3.719836830281271767e-01 2.512785156250000000e+03
