# 2theta(deg)  intensity
9.943608147427778210e-01 3.210574707031250000e+03
9.964216661722964385e-01 3.209545654296875000e+03
9.984825176018151671e-01 3.206222900390625000e+03
1.000543369031333896e+00 3.204999511718750000e+03
1.002604220460852735e+00 3.202863037109375000e+03
1.004665071890371353e+00 3.204624267578125000e+03
1.006725923319889970e+00 3.206053222656250000e+03
1.008786774749408810e+00 3.204464599609375000e+03
1.010847626178927428e+00 3.204124267578125000e+03
1.012908477608446045e+00 3.205210205078125000e+03
1.014969329037964885e+00 3.204144042968750000e+03
1.017030180467483724e+00 3.204544677734375000e+03
1.019091031897002342e+00 3.203802978515625000e+03
1.021151883326520959e+00 3.201502197265625000e+03
1.023212734756039799e+00 3.202033935546875000e+03
1.025273586185558417e+00 3.200448486328125000e+03
1.027334437615077034e+00 3.198934082031250000e+03
1.029395289044595652e+00 3.198388427734375000e+03
1.031456140474114713e+00 3.195830322265625000e+03
1.033516991903633331e+00 3.195015136718750000e+03
1.035577843333151948e+00 3.193891845703125000e+03
1.037638694762670788e+00 3.192865722656250000e+03
1.039699546192189406e+00 3.190966308593750000e+03
1.041760397621708023e+00 3.189749023437500000e+03
1.043821249051226641e+00 3.188510009765625000e+03
1.045882100480745702e+00 3.186957031250000000e+03
1.047942951910264320e+00 3.187597412109375000e+03
1.050003803339782937e+00 3.186295166015625000e+03
1.052064654769301555e+00 3.187446289062500000e+03
1.054125506198820394e+00 3.185723632812500000e+03
1.056186357628339012e+00 3.185770751953125000e+03
1.058247209057857630e+00 3.183813964843750000e+03
1.060308060487376691e+00 3.180586669921875000e+03
1.062368911916895309e+00 3.179530029296875000e+03
1.064429763346413926e+00 3.178299316406250000e+03
1.066490614775932544e+00 3.176903076171875000e+03
1.068551466205451383e+00 3.176762207031250000e+03
1.070612317634970001e+00 3.176667480468750000e+03
1.072673169064488841e+00 3.176925292968750000e+03
1.074734020494007458e+00 3.176777099609375000e+03
1.076794871923526298e+00 3.175397216796875000e+03
1.078855723353044915e+00 3.172180175781250000e+03
1.080916574782563533e+00 3.172360595703125000e+03
1.082977426212082372e+00 3.172168212890625000e+03
1.085038277641600990e+00 3.173272705078125000e+03
1.087099129071119830e+00 3.174906005859375000e+03
1.089159980500638447e+00 3.173792236328125000e+03
1.091220831930157287e+00 3.174214355468750000e+03
1.093281683359675904e+00 3.173715576171875000e+03
1.095342534789194522e+00 3.171364013671875000e+03
1.097403386218713139e+00 3.170186279296875000e+03
1.099464237648231979e+00 3.170199707031250000e+03
1.101525089077750819e+00 3.167577392578125000e+03
1.103585940507269436e+00 3.165096435546875000e+03
1.105646791936788276e+00 3.163519531250000000e+03
1.107707643366306893e+00 3.160803710937500000e+03
1.109768494795825511e+00 3.155798095703125000e+03
1.111829346225344128e+00 3.155453125000000000e+03
1.113890197654862968e+00 3.157841064453125000e+03
1.115951049084381808e+00 3.160799560546875000e+03
1.118011900513900425e+00 3.163581298828125000e+03
1.120072751943419043e+00 3.165161865234375000e+03
1.122133603372937882e+00 3.162901367187500000e+03
1.124194454802456500e+00 3.160401855468750000e+03
1.126255306231975117e+00 3.161053466796875000e+03
1.128316157661493957e+00 3.161026855468750000e+03
1.130377009091012797e+00 3.158830322265625000e+03
1.132437860520531414e+00 3.157255615234375000e+03
1.134498711950050032e+00 3.154041503906250000e+03
1.136559563379568871e+00 3.154088134765625000e+03
1.138620414809087489e+00 3.152433593750000000e+03
1.140681266238606106e+00 3.151462158203125000e+03
1.142742117668124724e+00 3.150646728515625000e+03
1.144802969097643786e+00 3.149842285156250000e+03
1.146863820527162403e+00 3.148070800781250000e+03
1.148924671956681021e+00 3.147264892578125000e+03
1.150985523386199638e+00 3.147367431640625000e+03
1.153046374815718478e+00 3.148115966796875000e+03
1.155107226245237095e+00 3.148456787109375000e+03
1.157168077674755935e+00 3.150541015625000000e+03
1.159228929104274775e+00 3.153966552734375000e+03
1.161289780533793392e+00 3.151927978515625000e+03
1.163350631963312010e+00 3.151400146484375000e+03
1.165411483392830627e+00 3.150615722656250000e+03
1.167472334822349467e+00 3.147397949218750000e+03
1.169533186251868084e+00 3.146378417968750000e+03
1.171594037681386924e+00 3.146507324218750000e+03
1.173654889110905541e+00 3.146775146484375000e+03
1.175715740540424381e+00 3.146023437500000000e+03
1.177776591969942999e+00 3.143002197265625000e+03
1.179837443399461616e+00 3.145953857421875000e+03
1.181898294828980456e+00 3.144434814453125000e+03
1.183959146258499073e+00 3.142707275390625000e+03
1.186019997688017913e+00 3.142695312500000000e+03
1.188080849117536530e+00 3.142476318359375000e+03
1.190141700547055370e+00 3.141898925781250000e+03
1.192202551976573988e+00 3.140860595703125000e+03
1.194263403406092605e+00 3.138500244140625000e+03
1.196324254835611223e+00 3.136756347656250000e+03
1.198385106265130062e+00 3.135351318359375000e+03
1.200445957694648902e+00 3.136797607421875000e+03
1.202506809124167519e+00 3.137887695312500000e+03
1.204567660553686359e+00 3.137373779296875000e+03
1.206628511983204977e+00 3.137250488281250000e+03
1.208689363412723594e+00 3.136869140625000000e+03
1.210750214842242212e+00 3.136129882812500000e+03
1.212811066271761051e+00 3.139739990234375000e+03
1.214871917701279891e+00 3.140544189453125000e+03
1.216932769130798508e+00 3.139674804687500000e+03
1.218993620560317126e+00 3.140761230468750000e+03
1.221054471989835966e+00 3.141038818359375000e+03
1.223115323419354583e+00 3.139591064453125000e+03
1.225176174848873201e+00 3.141809082031250000e+03
1.227237026278392040e+00 3.140513183593750000e+03
1.229297877707910880e+00 3.139279296875000000e+03
1.231358729137429497e+00 3.139523193359375000e+03
1.233419580566948115e+00 3.139877685546875000e+03
1.235480431996466955e+00 3.141809082031250000e+03
1.237541283425985572e+00 3.141533203125000000e+03
1.239602134855504190e+00 3.142400390625000000e+03
1.241662986285023029e+00 3.144100097656250000e+03
1.243723837714541869e+00 3.143863281250000000e+03
1.245784689144060486e+00 3.142999023437500000e+03
1.247845540573579104e+00 3.141285888671875000e+03
1.249906392003097944e+00 3.137832275390625000e+03
1.251967243432616561e+00 3.135372314453125000e+03
1.254028094862135179e+00 3.134401855468750000e+03
1.256088946291654018e+00 3.135095458984375000e+03
1.258149797721172858e+00 3.136658935546875000e+03
1.260210649150691475e+00 3.135489746093750000e+03
1.262271500580210093e+00 3.132983886718750000e+03
1.264332352009728710e+00 3.132708740234375000e+03
1.266393203439247550e+00 3.129822753906250000e+03
1.268454054868766168e+00 3.127652099609375000e+03
1.270514906298285007e+00 3.128732421875000000e+03
1.272575757727803847e+00 3.128369384765625000e+03
1.274636609157322464e+00 3.124866699218750000e+03
1.276697460586841082e+00 3.121808105468750000e+03
1.278758312016359699e+00 3.118900146484375000e+03
1.280819163445878539e+00 3.114593261718750000e+03
1.282880014875397157e+00 3.114544433593750000e+03
1.284940866304915996e+00 3.119633300781250000e+03
1.287001717734434614e+00 3.120011474609375000e+03
1.289062569163953453e+00 3.123760009765625000e+03
1.291123420593472071e+00 3.125668945312500000e+03
1.293184272022990688e+00 3.124790771484375000e+03
1.295245123452509306e+00 3.124647216796875000e+03
1.297305974882028146e+00 3.122731201171875000e+03
1.299366826311546985e+00 3.119777832031250000e+03
1.301427677741065603e+00 3.119753662109375000e+03
1.303488529170584442e+00 3.119742919921875000e+03
1.305549380600103060e+00 3.119428466796875000e+03
1.307610232029621677e+00 3.120131347656250000e+03
1.309671083459140295e+00 3.121377929687500000e+03
1.311731934888659135e+00 3.120533935546875000e+03
1.313792786318177974e+00 3.120650390625000000e+03
1.315853637747696592e+00 3.118980957031250000e+03
1.317914489177215209e+00 3.117096191406250000e+03
1.319975340606734049e+00 3.116039062500000000e+03
1.322036192036252666e+00 3.115680664062500000e+03
1.324097043465771284e+00 3.116529296875000000e+03
1.326157894895290124e+00 3.113636474609375000e+03
1.328218746324808963e+00 3.112876464843750000e+03
1.330279597754327581e+00 3.111606445312500000e+03
1.332340449183846198e+00 3.109466064453125000e+03
1.334401300613365038e+00 3.109054687500000000e+03
1.336462152042883655e+00 3.109312988281250000e+03
1.338523003472402273e+00 3.105940429687500000e+03
1.340583854901921113e+00 3.105921142578125000e+03
1.342644706331439952e+00 3.104991699218750000e+03
1.344705557760958570e+00 3.101829833984375000e+03
1.346766409190477187e+00 3.099650146484375000e+03
1.348827260619996027e+00 3.098173339843750000e+03
1.350888112049514644e+00 3.097048339843750000e+03
1.352948963479033262e+00 3.095200927734375000e+03
1.355009814908552102e+00 3.094816894531250000e+03
1.357070666338070941e+00 3.092868408203125000e+03
1.359131517767589559e+00 3.091108886718750000e+03
1.361192369197108176e+00 3.089488037109375000e+03
1.363253220626626794e+00 3.085468261718750000e+03
1.365314072056145633e+00 3.081341552734375000e+03
