# 2theta(deg)  intensity
1.030417828949118817e-03 4.459236907958984375e+01
3.091253486847356669e-03 5.145946121215820312e+01
5.152089144745594304e-03 9.573392486572265625e+01
7.212924802643833240e-03 1.021821060180664062e+02
9.273760460542072176e-03 1.037200546264648438e+02
1.133459611844031024e-02 9.652549743652343750e+01
1.339543177633854658e-02 8.136186218261718750e+01
1.545626743423678291e-02 6.466629028320312500e+01
1.751710309213502098e-02 4.049942398071289062e+01
1.957793875003326078e-02 3.403966522216796875e+01
2.163877440793149712e-02 3.393501281738281250e+01
2.369961006582973692e-02 2.568143653869628906e+01
2.576044572372797326e-02 3.615778350830078125e+01
2.782128138162620959e-02 4.178295135498046875e+01
2.988211703952445286e-02 3.959835815429687500e+01
3.194295269742269266e-02 4.200343322753906250e+01
3.400378835532093247e-02 4.288402938842773438e+01
3.606462401321916533e-02 4.366367721557617188e+01
3.812545967111740514e-02 4.620097351074218750e+01
4.018629532901563800e-02 5.812656021118164062e+01
4.224713098691388474e-02 6.254660415649414062e+01
4.430796664481211761e-02 6.067090988159179688e+01
4.636880230271035741e-02 6.024060821533203125e+01
4.842963796060859721e-02 5.089256286621093750e+01
5.049047361850683008e-02 4.543111801147460938e+01
5.255130927640506988e-02 4.664889144897460938e+01
5.461214493430330968e-02 4.779867553710937500e+01
5.667298059220154949e-02 4.958764266967773438e+01
5.873381625009977541e-02 4.981057739257812500e+01
6.079465190799802216e-02 5.384901809692382812e+01
6.285548756589626196e-02 5.799890136718750000e+01
6.491632322379449482e-02 5.788018798828125000e+01
6.697715888169272769e-02 6.044546508789062500e+01
6.903799453959097443e-02 6.148314285278320312e+01
7.109883019748920729e-02 5.262805557250976562e+01
7.315966585538744016e-02 4.784851455688476562e+01
7.522050151328568690e-02 4.775908279418945312e+01
7.728133717118393364e-02 5.376558303833007812e+01
7.934217282908215263e-02 5.802164840698242188e+01
8.140300848698039937e-02 5.584281921386718750e+01
8.346384414487863224e-02 5.774480438232421875e+01
8.552467980277686510e-02 5.201527786254882812e+01
8.758551546067511184e-02 4.934612274169921875e+01
8.964635111857334471e-02 5.169638061523437500e+01
9.170718677647159145e-02 5.679800415039062500e+01
9.376802243436982431e-02 5.861278915405273438e+01
9.582885809226805718e-02 5.795859909057617188e+01
9.788969375016630392e-02 5.512956237792968750e+01
9.995052940806453678e-02 5.601345825195312500e+01
1.020113650659627696e-01 5.783223342895507812e+01
1.040722007238610164e-01 6.109978866577148438e+01
1.061330363817592631e-01 6.737570190429687500e+01
1.081938720396574821e-01 6.910779571533203125e+01
1.102547076975557289e-01 6.419184875488281250e+01
1.123155433554539756e-01 6.624490356445312500e+01
1.143763790133522223e-01 7.255368041992187500e+01
1.164372146712504552e-01 7.707789611816406250e+01
1.184980503291486881e-01 8.311121368408203125e+01
1.205588859870469348e-01 9.093519592285156250e+01
1.226197216449451677e-01 9.562931060791015625e+01
1.246805573028434144e-01 9.921424865722656250e+01
1.267413929607416612e-01 1.061085205078125000e+02
1.288022286186398802e-01 1.073185119628906250e+02
1.308630642765381269e-01 1.125976257324218750e+02
1.329238999344363736e-01 1.243873138427734375e+02
1.349847355923345926e-01 1.296248168945312500e+02
1.370455712502328394e-01 1.394263305664062500e+02
1.391064069081310861e-01 1.486651153564453125e+02
1.411672425660293051e-01 1.551285247802734375e+02
1.432280782239275518e-01 1.623092956542968750e+02
1.452889138818257986e-01 1.675754394531250000e+02
1.473497495397240453e-01 1.684918670654296875e+02
1.494105851976222643e-01 1.743035888671875000e+02
1.514714208555205111e-01 1.858130340576171875e+02
1.535322565134187578e-01 1.949110412597656250e+02
1.555930921713169768e-01 2.046123809814453125e+02
1.576539278292152235e-01 2.117860870361328125e+02
1.597147634871134703e-01 2.160600585937500000e+02
1.617755991450116893e-01 2.235525817871093750e+02
1.638364348029099082e-01 2.356445007324218750e+02
1.658972704608081827e-01 2.428888702392578125e+02
1.679581061187064017e-01 2.472810821533203125e+02
1.700189417766046207e-01 2.546667175292968750e+02
1.720797774345028952e-01 2.651488037109375000e+02
1.741406130924011142e-01 2.714480895996093750e+02
1.762014487502993609e-01 2.800127868652343750e+02
1.782622844081976077e-01 2.920205993652343750e+02
1.803231200660958267e-01 2.960907592773437500e+02
1.823839557239940734e-01 3.021448059082031250e+02
1.844447913818923201e-01 3.165785522460937500e+02
1.865056270397905391e-01 3.286753540039062500e+02
1.885664626976887859e-01 3.363711547851562500e+02
1.906272983555870326e-01 3.479029235839843750e+02
1.926881340134852516e-01 3.595963439941406250e+02
1.947489696713834983e-01 3.723681335449218750e+02
1.968098053292817451e-01 3.815657348632812500e+02
1.988706409871799641e-01 3.967231140136718750e+02
2.009314766450782108e-01 4.041758422851562500e+02
2.029923123029764576e-01 4.153152160644531250e+02
2.050531479608747043e-01 4.307622375488281250e+02
2.071139836187729233e-01 4.445621948242187500e+02
2.091748192766711700e-01 4.570221862792968750e+02
2.112356549345694168e-01 4.691848144531250000e+02
2.132964905924676358e-01 4.830996398925781250e+02
2.153573262503658825e-01 4.906623229980468750e+02
2.174181619082641292e-01 5.013881530761718750e+02
2.194789975661623482e-01 5.158936767578125000e+02
2.215398332240605950e-01 5.274110717773437500e+02
2.236006688819588417e-01 5.340089721679687500e+02
2.256615045398570329e-01 5.458152465820312500e+02
2.277223401977553074e-01 5.538469238281250000e+02
2.297831758556534987e-01 5.586279907226562500e+02
2.318440115135517454e-01 5.649438476562500000e+02
2.339048471714500199e-01 5.720454101562500000e+02
2.359656828293482111e-01 5.747877197265625000e+02
2.380265184872464579e-01 5.781192016601562500e+02
2.400873541451447324e-01 5.782973632812500000e+02
2.421481898030429791e-01 5.809735717773437500e+02
2.442090254609411704e-01 5.873099365234375000e+02
2.462698611188394449e-01 5.906585693359375000e+02
2.483306967767376916e-01 5.955595092773437500e+02
2.503915324346359106e-01 6.024412231445312500e+02
2.524523680925341296e-01 6.020662841796875000e+02
2.545132037504324041e-01 6.022232666015625000e+02
2.565740394083306231e-01 6.046814575195312500e+02
2.586348750662288420e-01 6.086596069335937500e+02
2.606957107241271165e-01 6.124140625000000000e+02
2.627565463820253355e-01 6.203457641601562500e+02
2.648173820399235545e-01 6.236172485351562500e+02
2.668782176978218290e-01 6.255490112304687500e+02
