# 2theta(deg)  intensity
1.716607687905772478e-03 3.793747558593750000e+02
5.149823063717318301e-03 3.537052917480468750e+02
8.583038439528862390e-03 2.999596252441406250e+02
1.201625381534040908e-02 2.592405090332031250e+02
1.544946919115195404e-02 2.128681030273437500e+02
1.888268456696349726e-02 1.772733917236328125e+02
2.231589994277504568e-02 1.674186096191406250e+02
2.574911531858659064e-02 1.748075408935546875e+02
2.918233069439813906e-02 1.817798156738281250e+02
3.261554607020968055e-02 1.729796295166015625e+02
3.604876144602122551e-02 1.680213317871093750e+02
3.948197682183277740e-02 1.654706726074218750e+02
4.291519219764432236e-02 1.657962951660156250e+02
4.634840757345586731e-02 1.557442321777343750e+02
4.978162294926741227e-02 1.410891418457031250e+02
5.321483832507895723e-02 1.392682495117187500e+02
5.664805370089049524e-02 1.440669860839843750e+02
6.008126907670204714e-02 1.536644134521484375e+02
6.351448445251357822e-02 1.446513824462890625e+02
6.694769982832513011e-02 1.333856658935546875e+02
7.038091520413666813e-02 1.382639465332031250e+02
7.381413057994822002e-02 1.506414794921875000e+02
7.724734595575977192e-02 1.483999481201171875e+02
8.068056133157130994e-02 1.498667602539062500e+02
8.411377670738286183e-02 1.508955078125000000e+02
8.754699208319441373e-02 1.561011962890625000e+02
9.098020745900595174e-02 1.540757904052734375e+02
9.441342283481750364e-02 1.506173400878906250e+02
9.784663821062904165e-02 1.501169128417968750e+02
1.012798535864405797e-01 1.581961059570312500e+02
1.047130689622521316e-01 1.659176940917968750e+02
1.081462843380636696e-01 1.718678588867187500e+02
1.115794997138752215e-01 1.845352325439453125e+02
1.150127150896867734e-01 2.034552459716796875e+02
1.184459304654983391e-01 2.402922668457031250e+02
1.218791458413098772e-01 2.664967651367187500e+02
1.253123612171214152e-01 2.982991638183593750e+02
1.287455765929329810e-01 3.247550659179687500e+02
1.321787919687445190e-01 3.640317077636718750e+02
1.356120073445560570e-01 3.956133117675781250e+02
1.390452227203675950e-01 4.330505981445312500e+02
1.424784380961791608e-01 4.633819274902343750e+02
1.459116534719906988e-01 5.098337097167968750e+02
1.493448688478022368e-01 5.428269042968750000e+02
1.527780842236137748e-01 5.857268676757812500e+02
1.562112995994253128e-01 6.166542358398437500e+02
1.596445149752368509e-01 6.595750122070312500e+02
1.630777303510484166e-01 6.898424072265625000e+02
1.665109457268599547e-01 7.266174926757812500e+02
1.699441611026714927e-01 7.633157958984375000e+02
1.733773764784830584e-01 8.051051635742187500e+02
1.768105918542945965e-01 8.501462402343750000e+02
1.802438072301061345e-01 8.954184570312500000e+02
1.836770226059177002e-01 9.395922241210937500e+02
1.871102379817292383e-01 9.785305786132812500e+02
1.905434533575407763e-01 1.030267822265625000e+03
1.939766687333523421e-01 1.074887329101562500e+03
1.974098841091638801e-01 1.125920166015625000e+03
2.008430994849754181e-01 1.182290527343750000e+03
2.042763148607869561e-01 1.241469970703125000e+03
2.077095302365985219e-01 1.314550781250000000e+03
2.111427456124100599e-01 1.378591308593750000e+03
2.145759609882215979e-01 1.463445800781250000e+03
2.180091763640331637e-01 1.534068725585937500e+03
2.214423917398447017e-01 1.596619018554687500e+03
2.248756071156562397e-01 1.634813842773437500e+03
2.283088224914677500e-01 1.660221313476562500e+03
2.317420378672793158e-01 1.680477172851562500e+03
2.351752532430908538e-01 1.704407836914062500e+03
2.386084686189023918e-01 1.722556152343750000e+03
2.420416839947139298e-01 1.746399169921875000e+03
2.454748993705254956e-01 1.762510009765625000e+03
2.489081147463370058e-01 1.776935546875000000e+03
2.523413301221485994e-01 1.796796630859375000e+03
2.557745454979601374e-01 1.817487670898437500e+03
2.592077608737716754e-01 1.838264648437500000e+03
2.626409762495832134e-01 1.856934814453125000e+03
2.660741916253948069e-01 1.877060302734375000e+03
2.695074070012062895e-01 1.892849609375000000e+03
2.729406223770178275e-01 1.909093017578125000e+03
2.763738377528293655e-01 1.928966674804687500e+03
2.798070531286409035e-01 1.958485473632812500e+03
2.832402685044524970e-01 1.982028564453125000e+03
2.866734838802639795e-01 1.996854003906250000e+03
2.901066992560755731e-01 2.014222045898437500e+03
2.935399146318871111e-01 2.029613891601562500e+03
2.969731300076986491e-01 2.046911621093750000e+03
3.004063453835101871e-01 2.067293945312500000e+03
3.038395607593217806e-01 2.091196533203125000e+03
3.072727761351332632e-01 2.115132324218750000e+03
3.107059915109448567e-01 2.135060058593750000e+03
3.141392068867563947e-01 2.163956298828125000e+03
3.175724222625679327e-01 2.192261474609375000e+03
3.210056376383794707e-01 2.218787841796875000e+03
3.244388530141910643e-01 2.237377685546875000e+03
3.278720683900025468e-01 2.258186767578125000e+03
3.313052837658141403e-01 2.280746337890625000e+03
3.347384991416256783e-01 2.301277099609375000e+03
3.381717145174372163e-01 2.325341308593750000e+03
3.416049298932487543e-01 2.345746337890625000e+03
3.450381452690602924e-01 2.363362792968750000e+03
3.484713606448718304e-01 2.381287353515625000e+03
3.519045760206833684e-01 2.406505859375000000e+03
3.553377913964949619e-01 2.426929687500000000e+03
3.587710067723064444e-01 2.443997314453125000e+03
3.622042221481180380e-01 2.458615234375000000e+03
3.656374375239295760e-01 2.480802490234375000e+03
3.690706528997411140e-01 2.496087402343750000e+03
3.725038682755526520e-01 2.516700195312500000e+03
3.759370836513642455e-01 2.535269531250000000e+03
3.793702990271757280e-01 2.556206542968750000e+03
3.828035144029873216e-01 2.571471923828125000e+03
3.862367297787988596e-01 2.587017333984375000e+03
3.896699451546103976e-01 2.598500976562500000e+03
3.931031605304219356e-01 2.609269042968750000e+03
3.965363759062334736e-01 2.623782226562500000e+03
3.999695912820450117e-01 2.646012451171875000e+03
4.034028066578566052e-01 2.671094726562500000e+03
4.068360220336680877e-01 2.694353759765625000e+03
4.102692374094796812e-01 2.712330566406250000e+03
4.137024527852912192e-01 2.727344482421875000e+03
4.171356681611027573e-01 2.741659667968750000e+03
4.205688835369142953e-01 2.754718017578125000e+03
4.240020989127258333e-01 2.774252929687500000e+03
4.274353142885373713e-01 2.790776611328125000e+03
4.308685296643489093e-01 2.812228515625000000e+03
4.343017450401605029e-01 2.830473632812500000e+03
4.377349604159719854e-01 2.846140869140625000e+03
4.411681757917835789e-01 2.858643310546875000e+03
4.446013911675951169e-01 2.876680664062500000e+03
4.480346065434067104e-01 2.899297851562500000e+03
4.514678219192181929e-01 2.918757568359375000e+03
4.549010372950297310e-01 2.934639892578125000e+03
4.583342526708413245e-01 2.951924560546875000e+03
4.617674680466528625e-01 2.965777099609375000e+03
4.652006834224643450e-01 2.981311279296875000e+03
4.686338987982759940e-01 3.001718261718750000e+03
4.720671141740874766e-01 3.021828613281250000e+03
4.755003295498990146e-01 3.044506103515625000e+03
4.789335449257106081e-01 3.067252441406250000e+03
4.823667603015221461e-01 3.088173095703125000e+03
4.857999756773336286e-01 3.107833984375000000e+03
4.892331910531452777e-01 3.127518554687500000e+03
4.926664064289567602e-01 3.149785156250000000e+03
4.960996218047682982e-01 3.167575195312500000e+03
4.995328371805798917e-01 3.183147460937500000e+03
5.029660525563913742e-01 3.195363281250000000e+03
5.063992679322029122e-01 3.202074218750000000e+03
5.098324833080145613e-01 3.206273437500000000e+03
5.132656986838259883e-01 3.207610595703125000e+03
5.166989140596375263e-01 3.200074707031250000e+03
5.201321294354491753e-01 3.197174316406250000e+03
5.235653448112607133e-01 3.186546386718750000e+03
5.269985601870721403e-01 3.176365722656250000e+03
5.304317755628837894e-01 3.167731933593750000e+03
5.338649909386953274e-01 3.165328125000000000e+03
5.372982063145068654e-01 3.162154541015625000e+03
5.407314216903184034e-01 3.151255859375000000e+03
5.441646370661299414e-01 3.137126464843750000e+03
5.475978524419414795e-01 3.126398437500000000e+03
5.510310678177530175e-01 3.117628662109375000e+03
5.544642831935645555e-01 3.109499755859375000e+03
5.578974985693760935e-01 3.106708007812500000e+03
5.613307139451876315e-01 3.099527832031250000e+03
5.647639293209992806e-01 3.092463867187500000e+03
5.681971446968107076e-01 3.090419677734375000e+03
5.716303600726222456e-01 3.091184326171875000e+03
5.750635754484338946e-01 3.089986816406250000e+03
5.784967908242454326e-01 3.089636718750000000e+03
5.819300062000568596e-01 3.091262451171875000e+03
5.853632215758685087e-01 3.098795654296875000e+03
5.887964369516800467e-01 3.102653564453125000e+03
5.922296523274915847e-01 3.102589599609375000e+03
5.956628677033031227e-01 3.102176025390625000e+03
5.990960830791146607e-01 3.109709716796875000e+03
6.025292984549261988e-01 3.115660644531250000e+03
6.059625138307377368e-01 3.111162353515625000e+03
6.093957292065492748e-01 3.110737548828125000e+03
6.128289445823608128e-01 3.115236328125000000e+03
6.162621599581724618e-01 3.123708007812500000e+03
6.196953753339838888e-01 3.123594726562500000e+03
6.231285907097954269e-01 3.119682617187500000e+03
6.265618060856070759e-01 3.121601074218750000e+03
6.299950214614186139e-01 3.128229736328125000e+03
6.334282368372300409e-01 3.127183837890625000e+03
6.368614522130416900e-01 3.130852783203125000e+03
6.402946675888532280e-01 3.136152099609375000e+03
6.437278829646647660e-01 3.138130371093750000e+03
6.471610983404763040e-01 3.135445312500000000e+03
6.505943137162878420e-01 3.134138183593750000e+03
6.540275290920993800e-01 3.140691650390625000e+03
6.574607444679109181e-01 3.141073486328125000e+03
6.608939598437224561e-01 3.143999755859375000e+03
6.643271752195339941e-01 3.145730712890625000e+03
6.677603905953456431e-01 3.146412109375000000e+03
6.711936059711570701e-01 3.144808593750000000e+03
6.746268213469686081e-01 3.145455566406250000e+03
6.780600367227802572e-01 3.149736816406250000e+03
6.814932520985917952e-01 3.152250732421875000e+03
6.849264674744032222e-01 3.154104736328125000e+03
6.883596828502148712e-01 3.159010742187500000e+03
6.917928982260264092e-01 3.162454589843750000e+03
6.952261136018379473e-01 3.163200195312500000e+03
6.986593289776494853e-01 3.160449462890625000e+03
7.020925443534610233e-01 3.156686035156250000e+03
7.055257597292725613e-01 3.158583740234375000e+03
7.089589751050842104e-01 3.161330078125000000e+03
7.123921904808956374e-01 3.163644287109375000e+03
7.158254058567071754e-01 3.164041259765625000e+03
7.192586212325188244e-01 3.166922363281250000e+03
7.226918366083303624e-01 3.170922851562500000e+03
7.261250519841417894e-01 3.173715576171875000e+03
7.295582673599534385e-01 3.175893798828125000e+03
7.329914827357649765e-01 3.179057128906250000e+03
7.364246981115765145e-01 3.182816894531250000e+03
7.398579134873880525e-01 3.188137207031250000e+03
7.432911288631995905e-01 3.190047119140625000e+03
7.467243442390111285e-01 3.195547119140625000e+03
7.501575596148226666e-01 3.194011718750000000e+03
7.535907749906342046e-01 3.189887939453125000e+03
7.570239903664457426e-01 3.189208251953125000e+03
7.604572057422573916e-01 3.191028564453125000e+03
7.638904211180688186e-01 3.190834472656250000e+03
7.673236364938803566e-01 3.190629150390625000e+03
7.707568518696920057e-01 3.190623291015625000e+03
7.741900672455035437e-01 3.191172119140625000e+03
7.776232826213149707e-01 3.193306396484375000e+03
