# 2theta(deg)  intensity
1.029940654801345112e-03 3.806799926757812500e+02
3.089821964404035771e-03 3.814818420410156250e+02
5.149703274006725562e-03 3.555042419433593750e+02
7.209584583609416654e-03 3.233146667480468750e+02
9.269465893212106011e-03 2.874861450195312500e+02
1.132934720281479624e-02 2.723680419921875000e+02
1.338922851241748820e-02 2.372951660156250000e+02
1.544910982202017495e-02 2.140802459716796875e+02
1.750899113162286691e-02 1.887723541259765625e+02
1.956887244122555713e-02 1.736344451904296875e+02
2.162875375082824736e-02 1.700607147216796875e+02
2.368863506043093758e-02 1.636666259765625000e+02
2.574851637003362781e-02 1.762869873046875000e+02
2.780839767963631803e-02 1.849366912841796875e+02
2.986827898923900479e-02 1.785762329101562500e+02
3.192816029884169848e-02 1.764250793457031250e+02
3.398804160844438871e-02 1.706495666503906250e+02
3.604792291804707893e-02 1.678209075927734375e+02
3.810780422764976916e-02 1.609163970947265625e+02
4.016768553725245938e-02 1.681258544921875000e+02
4.222756684685514961e-02 1.689341583251953125e+02
4.428744815645783983e-02 1.587566986083984375e+02
4.634732946606053006e-02 1.565846710205078125e+02
4.840721077566322028e-02 1.507656402587890625e+02
5.046709208526591744e-02 1.367150573730468750e+02
5.252697339486860073e-02 1.394379882812500000e+02
5.458685470447129096e-02 1.403702697753906250e+02
5.664673601407398118e-02 1.441367645263671875e+02
5.870661732367666447e-02 1.498229217529296875e+02
6.076649863327936857e-02 1.550022125244140625e+02
6.282637994288205185e-02 1.481457214355468750e+02
6.488626125248474208e-02 1.389884796142578125e+02
6.694614256208743230e-02 1.324371032714843750e+02
6.900602387169012253e-02 1.333211669921875000e+02
7.106590518129281275e-02 1.406702575683593750e+02
7.312578649089550298e-02 1.486944732666015625e+02
7.518566780049819320e-02 1.526342926025390625e+02
7.724554911010088343e-02 1.485891418457031250e+02
7.930543041970357365e-02 1.469958038330078125e+02
8.136531172930626388e-02 1.507738342285156250e+02
8.342519303890895410e-02 1.498712768554687500e+02
8.548507434851164433e-02 1.537644195556640625e+02
8.754495565811434843e-02 1.562195281982421875e+02
8.960483696771702478e-02 1.560060272216796875e+02
9.166471827731971500e-02 1.529754791259765625e+02
9.372459958692240523e-02 1.498280792236328125e+02
9.578448089652509545e-02 1.515144958496093750e+02
9.784436220612778567e-02 1.492698516845703125e+02
9.990424351573048978e-02 1.542232513427734375e+02
1.019641248253331661e-01 1.598425445556640625e+02
1.040240061349358563e-01 1.652654571533203125e+02
1.060838874445385466e-01 1.672170104980468750e+02
1.081437687541412368e-01 1.718575134277343750e+02
1.102036500637439270e-01 1.770424499511718750e+02
1.122635313733466311e-01 1.885922698974609375e+02
1.143234126829493214e-01 1.975087738037109375e+02
1.163832939925519977e-01 2.155492401123046875e+02
1.184431753021546879e-01 2.404552307128906250e+02
1.205030566117574059e-01 2.586405029296875000e+02
1.225629379213600961e-01 2.702445373535156250e+02
1.246228192309627864e-01 2.918744812011718750e+02
1.266827005405654627e-01 3.085146179199218750e+02
1.287425818501681529e-01 3.255268249511718750e+02
1.308024631597708431e-01 3.442861633300781250e+02
1.328623444693735334e-01 3.740809020996093750e+02
1.349222257789762236e-01 3.888305969238281250e+02
1.369821070885789138e-01 4.075720214843750000e+02
1.390419883981816040e-01 4.331676635742187500e+02
1.411018697077842943e-01 4.545194091796875000e+02
1.431617510173869845e-01 4.679842224121093750e+02
1.452216323269896747e-01 5.000184936523437500e+02
1.472815136365923649e-01 5.269425048828125000e+02
1.493413949461950552e-01 5.405359497070312500e+02
1.514012762557977454e-01 5.679741210937500000e+02
1.534611575654004356e-01 5.944505615234375000e+02
1.555210388750031258e-01 6.080686035156250000e+02
1.575809201846058161e-01 6.347362670898437500e+02
1.596408014942085063e-01 6.588872680664062500e+02
1.617006828038111965e-01 6.783189086914062500e+02
1.637605641134138867e-01 6.952981567382812500e+02
1.658204454230165770e-01 7.182502441406250000e+02
1.678803267326192672e-01 7.445797119140625000e+02
1.699402080422219574e-01 7.614588012695312500e+02
1.720000893518246476e-01 7.858084716796875000e+02
1.740599706614273379e-01 8.149936523437500000e+02
1.761198519710300281e-01 8.414975585937500000e+02
1.781797332806327183e-01 8.684057617187500000e+02
1.802396145902354085e-01 8.954908447265625000e+02
1.822994958998380988e-01 9.241544189453125000e+02
1.843593772094407890e-01 9.453737182617187500e+02
1.864192585190434792e-01 9.691968383789062500e+02
1.884791398286461694e-01 1.000148193359375000e+03
1.905390211382488597e-01 1.030505615234375000e+03
1.925989024478515499e-01 1.054844482421875000e+03
1.946587837574542401e-01 1.085463256835937500e+03
1.967186650670569303e-01 1.117725097656250000e+03
1.987785463766596483e-01 1.143028076171875000e+03
2.008384276862623385e-01 1.183064331054687500e+03
2.028983089958650010e-01 1.221512695312500000e+03
2.049581903054676912e-01 1.251015991210937500e+03
2.070180716150703815e-01 1.301265991210937500e+03
2.090779529246730717e-01 1.340415771484375000e+03
2.111378342342757619e-01 1.378704467773437500e+03
2.131977155438784521e-01 1.429998779296875000e+03
2.152575968534811424e-01 1.478944946289062500e+03
2.173174781630838326e-01 1.522646972656250000e+03
2.193773594726865228e-01 1.558395996093750000e+03
2.214372407822892130e-01 1.595850219726562500e+03
2.234971220918919033e-01 1.626647216796875000e+03
2.255570034014946212e-01 1.638745727539062500e+03
2.276168847110972837e-01 1.653620971679687500e+03
2.296767660206999739e-01 1.671826171875000000e+03
2.317366473303026364e-01 1.679511352539062500e+03
2.337965286399053544e-01 1.694488647460937500e+03
2.358564099495080169e-01 1.708643188476562500e+03
2.379162912591107348e-01 1.717577148437500000e+03
2.399761725687134528e-01 1.732250854492187500e+03
2.420360538783161153e-01 1.746763061523437500e+03
2.440959351879188333e-01 1.756246704101562500e+03
2.461558164975214957e-01 1.765740356445312500e+03
2.482156978071242137e-01 1.774528808593750000e+03
2.502755791167268762e-01 1.782772827148437500e+03
2.523354604263295942e-01 1.796934692382812500e+03
2.543953417359322566e-01 1.809456665039062500e+03
2.564552230455349746e-01 1.821697631835937500e+03
2.585151043551376371e-01 1.835510375976562500e+03
2.605749856647403551e-01 1.843981567382812500e+03
2.626348669743430175e-01 1.856979614257812500e+03
2.646947482839457355e-01 1.868906372070312500e+03
2.667546295935484535e-01 1.880921997070312500e+03
2.688145109031511160e-01 1.887903808593750000e+03
2.708743922127537784e-01 1.901310424804687500e+03
2.729342735223564409e-01 1.908907714843750000e+03
2.749941548319591589e-01 1.917770751953125000e+03
2.770540361415618213e-01 1.935470581054687500e+03
2.791139174511645393e-01 1.953927001953125000e+03
2.811737987607672018e-01 1.967484008789062500e+03
2.832336800703699198e-01 1.982347534179687500e+03
2.852935613799725822e-01 1.992794921875000000e+03
